ID,Товар,Цена,Остаток
142,"Воблеры разных размеров и цветов, часть фото Воблеров есть в ""больше фото"" по ссылке. В Сызрани можем привезти всю коробку для выбора реальному покупателю",88,293
143,"Вращалка разных размеров и цветов 2 - 8гр, часть фото Вращалок есть в ""больше фото"" по ссылке. В Сызрани можем привезти всю коробку для выбора реальному покупателю",39,292
144,"Грузила ""Оливки"" 4гр шт",2,944
145,Двойники #4 25шт в упаковке,156,44
146,Джиголовка от 3 до 18гр,9,863
147,"Карабин Namazu INSURANCE SNAP, цв. BN, р. 0, test-9 кг (уп. 10 шт)",22,421
148,Кембрики в коробке,20,76
149,Колебалка NAMAZU и др. разных размеров и форм от 7 до 15гр,44,475
150,Сигнализатор поклёвки двойной бубенчик с зажимом (уп/100 штук),485,9
151,Крючки в коробке 50 штук,20,144
152,"Бойлики МАСТЕР КАРП d 6мм (уп.20шт) ""АНИС""",39,141
153,"Бойлики МАСТЕР КАРП d 6мм (уп.20шт) ""Конопля""",39,165
154,"Бойлики МАСТЕР КАРП d 6мм (уп.20шт)""МЁД""",39,112
155,Набор поплавок с намотка,18,241
156,Ножницы рыболовные для лески и плетёнки,18,142
157,"Набор поводков ""ERAFISHING"" (60шт/уп)",175,8
158,Поплавки разные,194,20
159,"Светлячки «SMS» 4,5×38 мм, 100 шт",466,4
160,"Электронный сигнализатор для клёва (200 шт/уп), зелёный.",970,2
161,"Набор стопоров рыболовных, цвет: чёрный (50 компл./уп.)",127,7
162,Набор силиконовых приманок (уп.100шт),194,2
163,"Твистер МИНИ 1 дюйм белый (2,5 см) (уп/100шт)",117,10
164,"Силиконовая приманка ACTION PLASTICS Curl Tail Grub 5,5см цв81 (20шт)",39,100
165,"Силиконовая приманка ACTION PLASTICS Curl Tail Grub 8,5см цв07 (20шт)",39,100
166,Силиконовая приманка ACTION PLASTICS Curl Tail Worm 6 - 071 (уп.6шт),44,100
167,Силиконовая приманка ACTION PLASTICS Mag Grub 3 - 023 (уп.10шт),59,100
168,"Твистер двойной 1,5 дюйм коралловый (3,5 см) (уп/100шт)",194,100
169,Силиконовая приманка ACTION PLASTICS Shad Minnow 3 - 102 (уп.10шт),49,100
170,"Слаг YAMAN PRO Devos Fry, р.1,6 inch, цвет #08 - Violet (уп.10шт)",46,60
171,"Слаг YAMAN PRO Devos Fry, р.1,6 inch, цвет #21 - Magic Violet (уп.10шт)",46,30
172,"Слаг YAMAN PRO Stick Fry, р.1,8 inch, цвет #02 - Chartreuse (уп. 10 шт.)",44,6
173,"Виброхвост YAMAN PRO Flatter Shad, р.2 inch, цвет #08 - Violet (уп.6 шт)",54,
174,"Виброхвост YAMAN PRO Legend Minnow, р.2 inch, цвет #08 - Violet (уп.6 шт)",49,
175,Ведро хозяйственное складное 10 Литров,325,3
176,Ведро хозяйственное складное 15 Литров,437,2
177,Ведро хозяйственное складное 5 Литров,277,4
178,Безмен до 50кг,117,175
179,"Канистра складная ""Следопыт"" 15 л",394,1
180,"Канистра складная ""Следопыт"" 20 л",308,12
181,Мыльница металлическая с креплением на кран,117,998
182,Колодка торм. перед. Лада 2110 с датчиком HF 350 805,350,1
183,Насос омывателя ВАЗ 2110 HF 744 084,127,30
